,Link,Title,Section Name,Text
1,https://ngwa.onlinelibrary.wiley.com/doi/abs/10.1111/gwat.12369,1DTempPro V2: New Features for Inferring Groundwater/Surface‐Water Exchange,Abstract,"A new version of the computer program 1DTempPro extends the original code to include new capabilities for (1) automated parameter estimation, (2) layer heterogeneity, and (3) time‐varying specific discharge. The code serves as an interface to the U.S. Geological Survey model VS2DH and supports analysis of vertical one‐dimensional temperature profiles under saturated flow conditions to assess groundwater/surface‐water exchange and estimate hydraulic conductivity for cases where hydraulic head is known."
2,https://doi.org/10.1002/2017JC013204,A Bayesian‐Based System to Assess Wave‐Driven Flooding Hazards on Coral Reef‐Lined Coasts,Abstract,"Many low‐elevation, coral reef‐lined, tropical coasts are vulnerable to the effects of climate change, sea level rise, and wave‐induced flooding. The considerable morphological diversity of these coasts and the variability of the hydrodynamic forcing that they are exposed to make predicting wave‐induced flooding a challenge. A process‐based wave‐resolving hydrodynamic model (XBeach Non‐Hydrostatic, “XBNH”) was used to create a large synthetic database for use in a “Bayesian Estimator for Wave Attack in Reef Environments” (BEWARE), relating incident hydrodynamics and coral reef geomorphology to coastal flooding hazards on reef‐lined coasts. Building on previous work, BEWARE improves system understanding of reef hydrodynamics by examining the intrinsic reef and extrinsic forcing factors controlling runup and flooding on reef‐lined coasts. The Bayesian estimator has high predictive skill for the XBNH model outputs that are flooding indicators, and was validated for a number of available field cases. It was found that, in order to accurately predict flooding hazards, water depth over the reef flat, incident wave conditions, and reef flat width are the most essential factors, whereas other factors such as beach slope and bed friction due to the presence or absence of corals are less important. BEWARE is a potentially powerful tool for use in early warning systems or risk assessment studies, and can be used to make projections about how wave‐induced flooding on coral reef‐lined coasts may change due to climate change."
3,https://ngwa.onlinelibrary.wiley.com/doi/abs/10.1111/gwat.12397,A Fractured Rock Geophysical Toolbox Method Selection Tool,Abstract - no full access to article (paid),"
Article impact statement: A spreadsheet‐based software is presented to identify methods for use at fractured‐rock sites, based on project goals and site description."
4,https://doi.org/10.3133/twri06A3,"A modular finite-element model (MODFE) for areal and axisymmetric ground-water-flow problems, Part 1: Model Description and User's Manual",Abstract,"A MODular, Finite-Element digital-computer program (MODFE) was developed to simulate steady or unsteady-state, two-dimensional or axisymmetric ground-water flow. Geometric- and hydrologic-aquifer characteristics in two spatial dimensions are represented by triangular finite elements and linear basis functions; one-dimensional finite elements and linear basis functions represent time. Finite-element matrix equations are solved by the direct symmetric-Doolittle method or the iterative modified, incomplete-Cholesky, conjugate-gradient method. Physical processes that can be represented by the model include (1) confined flow, unconfined flow (using the Dupuit approximation), or a combination of both; (2) leakage through either rigid or elastic confining beds; (3) specified recharge or discharge at points, along lines, and over areas; (4) flow across specified-flow, specified-head, or bead-dependent boundaries; (5) decrease of aquifer thickness to zero under extreme water-table decline and increase of aquifer thickness from zero as the water table rises; and (6) head-dependent fluxes from springs, drainage wells, leakage across riverbeds or confining beds combined with aquifer dewatering, and evapotranspiration. The report describes procedures for applying MODFE to ground-water-flow problems, simulation capabilities, and data preparation. Guidelines for designing the finite-element mesh and for node numbering and determining band widths are given. Tables are given that reference simulation capabilities to specific versions of MODFE. Examples of data input and model output for different versions of MODFE are provided."
5,https://pubs.usgs.gov/of/2007/1088/pdf/of07-1088_508.pdf,"A Monthly Water-Balance Model Driven By a Graphical User
Interface",Abstract (Has a lot more info in introduction),"This report describes a monthly water-balance model driven by a graphical user interface, referred to as the Thornthwaite monthly water-balance program. Computations of monthly water-balance components of the hydrologic cycle are made for a specified location. The program can be used as a research tool, an assessment tool, and a tool for classroom instruction."
6,https://pubs.usgs.gov/tm/tm4f2/,AnalyzeHOLE—An Integrated Wellbore Flow Analysis Tool,Abstract,"Conventional interpretation of flow logs assumes that hydraulic conductivity is directly proportional to flow change with depth. However, well construction can significantly alter the expected relation between changes in fluid velocity and hydraulic conductivity. Strong hydraulic conductivity contrasts between lithologic intervals can be masked in continuously screened wells. Alternating intervals of screen and blank casing also can greatly complicate the relation between flow and hydraulic properties. More permeable units are not necessarily associated with rapid fluid-velocity increases. Thin, highly permeable units can be misinterpreted as thick and less permeable intervals or not identified at all. These conditions compromise standard flow-log interpretation because vertical flow fields are induced near the wellbore.

AnalyzeHOLE, an integrated wellbore analysis tool for simulating flow and transport in wells and aquifer systems, provides a better alternative for simulating and evaluating complex well-aquifer system interaction. A pumping well and adjacent aquifer system are simulated with an axisymmetric, radial geometry in a two-dimensional MODFLOW model. Hydraulic conductivities are distributed by depth and estimated with PEST by minimizing squared differences between simulated and measured flows and drawdowns. Hydraulic conductivity can vary within a lithology but variance is limited with regularization. Transmissivity of the simulated system also can be constrained to estimates from single-well, pumping tests. Water-quality changes in the pumping well are simulated with simple mixing models between zones of differing water quality. These zones are differentiated by backtracking thousands of particles from the well screens with MODPATH. An Excel spreadsheet is used to interface the various components of AnalyzeHOLE by (1) creating model input files, (2) executing MODFLOW, MODPATH, PEST, and supporting FORTRAN routines, and (3) importing and graphically displaying pertinent results."
7,https://doi.org/10.1029/2011JB008968,"Ash3d: A finite‐volume, conservative numerical model for ash transport and tephra deposition",Abstract,"[1] We develop a transient, 3‐D Eulerian model (Ash3d) to predict airborne volcanic ash concentration and tephra deposition during volcanic eruptions. This model simulates downwind advection, turbulent diffusion, and settling of ash injected into the atmosphere by a volcanic eruption column. Ash advection is calculated using time‐varying pre‐existing wind data and a robust, high‐order, finite‐volume method. Our routine is mass‐conservative and uses the coordinate system of the wind data, either a Cartesian system local to the volcano or a global spherical system for the Earth. Volcanic ash is specified with an arbitrary number of grain sizes, which affects the fall velocity, distribution and duration of transport. Above the source volcano, the vertical mass distribution with elevation is calculated using a Suzuki distribution for a given plume height, eruptive volume, and eruption duration. Multiple eruptions separated in time may be included in a single simulation. We test the model using analytical solutions for transport. Comparisons of the predicted and observed ash distributions for the 18 August 1992 eruption of Mt. Spurr in Alaska demonstrate to the efficacy and efficiency of the routine."
8,https://www.sciencebase.gov/catalog/item/5eb4485182ce25b5135abeea,BBS - North American Breeding Bird Survey,summary from website,"The North American Breeding Bird Survey (BBS) is the primary source for critical quantitative data to evaluate the status of continental bird species, keeping common birds common and helping fuel a $75 billion wildlife watching industry. Each year thousands of citizen scientists skilled in avian identification collect data on BBS routes throughout North America allowing us to better understand bird population changes and manage them. The USGS Patuxent Wildlife Research Center, Environment and Climate Change Canada, and the Mexican National Commission for the Knowledge and Use of Biodiversity jointly coordinate the program, which provides reliable population data and trend analyses on more than 500 bird species."
9,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12679,"Benefits of the destinations, not costs of the journeys, shape partial migration patterns",Summary (no abstract),"The reasons that lead some animals to seasonally migrate, and others to remain in the same area year‐round, are poorly understood. Associations between traits, such as body size, and migration provide clues. For example, larger species and individuals are more likely to migrate. One explanation for this size bias in migration is that larger animals are capable of moving faster (movement hypothesis). However, body size is linked to many other biological processes. For instance, the energetic balances of larger animals are generally more sensitive to variation in food density because of body size effects on foraging and metabolism and this sensitivity could drive migratory decisions (forage hypothesis). Identifying the primary selective forces that drive migration ultimately requires quantifying fitness impacts over the full annual migratory cycle. Here, we develop a full annual migratory cycle model from metabolic and foraging theory to compare the importance of the forage and movement hypotheses. We parameterize the model for Galapagos tortoises, which were recently discovered to be size‐dependent altitudinal migrants.  The model predicts phenomena not included in model development including maximum body sizes, the body size at which individuals begin to migrate, and the seasonal timing of migration and these predictions generally agree with available data. Scenarios strongly support the forage hypothesis over the movement hypothesis. Furthermore, male Galapagos tortoises on Santa Cruz Island would be unable to grow to their enormous sizes without access to both highlands and lowlands. Whereas recent research has focused on links between traits and the migratory phases of the migratory cycle, we find that effects of body size on the non‐migratory phases are far more important determinants of the propensity to migrate. Larger animals are more sensitive to changing forage conditions than smaller animals with implications for maintenance of migration and body size in the face of environmental change."
10,https://pubs.usgs.gov/wri/1997/4022/report.pdf,"BIOMOC, A Multispecies Solute-Transport Model with
Biodegradation",Abstract,"A two-dimensional, multispecies reactive solute-transport model with sequential aerobic and anaerobic degradation processes was developed and tested. The model design is general and flexible, permitting simulation of biotransformation reactions for any combination of electron donor and acceptor. In addition, the evolution of redox zones can be simulated, as thermodynamically-favorable electron acceptors are depleted. The code is an extension of the U. S. Geological Survey's Method of Characteristics (MOC) flow and transport model. It allows for multiple particle sets and each particle set is capable of having multiple solute species with similar sorption characteristics. The rate of the degradation reactions can be represented by single-substrate Monod, multiple Monod, or minimum Monod kinetics. Four alternate inhibition formulations account for competitive, noncompetitive, biomass, or Haldane inhibition. Multiple degradation processes and microbial populations can be represented simultaneously. Growth of the biomass is modeled with specified yield and decay values. The model has been successfully tested against several one-dimensional analytical solutions. These include transient transport with first- and zero-order decay and linear sorption and also steadystate transport with first- and zero-order decay, or Monod degradation. The model results were also compared to results from two other one-dimensional numerical codes. To illustrate the flexibility of BIOMOC, example applications of the model to two field sites are described. The first example simulates steady-state, one-dimensional, transport and degradation of chlorinated solvents with no biomass growth. In this application, both reductive dehalogenation and aerobic degradation are simulated. The anaerobic reactions are inhibited by the presence of significant levels of dissolved oxygen. The second application is a two-dimensional, transient simulation of the Bemidji, Minnesota crude-oil spill site. In this application, the evolution of redox zones and microbial populations is simulated. Before contamination, aerobic conditions are present in the aquifer. As the plume evolves, the redox conditions change near the oil body from aerobic to manganese-reducing then iron-reducing and finally methanogenic. The results were used to determine the percentage of mass lost by aerobic versus anaerobic degradation and to understand the evolution of the redox zones in a plume."
11,https://pubs.usgs.gov/of/2012/1216/Presentations/Peter_Claggett.pdf,CBLCM - Chesapeake Bay Land Change Model,"Summary, no article","The CBLCM is an open-source pseudo-cellular automata land change model tailored for loose coupling with watershed models. The CBLCM simulates infill and redevelopment, residential and commercial development, forest and farmland conversion to development, and growth served by sewer or septic wastewater treatment. These data are produced at a 30m-resolution, a scale appropriate for input into both spatially distributed and lumped parameter watershed models. The CBLCM is unique among land change models by simulating multiple types of development and explicitly accounting for infill, redevelopment, and development densities. The CBLCM was used to simulate four future land use scenarios for the Chesapeake Bay watershed from 2013 to 2055 and validated against county-scale estimates of land consumption in the state of Maryland."
12,https://pubs.er.usgs.gov/publication/ofr00107,"Computer programs for limit-equilibrium slope-stability analyses FelleniusGS, BishopGS, and JanbuGS","No article, download Fortran 77 program","Simple Fortran 77 programs implement three published methods of limit-equilibrium slope-stability analysis that have been used in post-landslide investigations. The report includes a user guide and tutorial, sample data files, source code, and compiled programs for Windows 95/98/NT and the Mac OS. The programs use text files for input and output. Users can create foreign-language versions without recompiling the programs by editing the initialization files."
13,https://www.sciencebase.gov/catalog/item/5eb4485482ce25b5135abf0e,"Delft3D - 3D modeling suite to investigate hydrodynamics, sediment transport and morphology and water quality for fluvial, estuarine and coastal environments","Summary, no article","Delft3D is a world leading 3D modeling suite to investigate hydrodynamics, sediment transport and morphology and water quality for fluvial, estuarine and coastal environments. As per 1 January 2011, the Delft3D flow (FLOW), morphology (MOR) and waves (WAVE) modules are available in open source.The software is used and has proven his capabilities on many places around the world, like the Netherlands, USA, Hong Kong, Singapore, Australia, Venice, etc. The software is continuously improved and developed with innovating advanced modelling techniques as consequence of the research work of our institute and to stay world leading.The FLOW module is the heart of Delft3D and is a multi-dimensional (2D or 3D) hydrodynamic (and transport) simulation programme which calculates non-steady flow and transport phenomena resulting from tidal and meteorological forcing on a curvilinear, boundary fitted grid or sperical coordinates. In 3D simulations, the vertical grid is defined following the so-called sigma coordinate approach or Z-layer approach. The MOR module computes sediment transport (both suspended and bed total load) and morphological changes for an arbitrary number of cohesive and non-cohesive fractions. Both currents and waves act as driving forces and a wide variety of transport formulae have been incorporated. For the suspended load this module connects to the 2D or 3D advection-diffusion solver of the FLOW module; density effects may be taken into account. An essential feature of the MOR module is the dynamic feedback with the FLOW and WAVE modules, which allow the flows and waves to adjust themselves to the local bathymetry and allows for simulations on any time scale from days (storm impact) to centuries (system dynamics). It can keep track of the bed composition to build up a stratigraphic record. The MOR module may be extended to include extensive features to simulate dredging and dumping scenarios."
